"","Country.of.Origin","Farm.Name","Mill","Company","Altitude","Region","Producer","Number.of.Bags","Bag.Weight","In.Country.Partner","Harvest.Year","Grading.Date","Owner","Variety","Processing.Method","Aroma","Flavor","Aftertaste","Acidity","Body","Balance","Uniformity","Clean.Cup","Sweetness","Overall","Total.Cup.Points","Moisture","Category.One.Defects","Quakers","Color","Category.Two.Defects","Farm.Region","Region.Country","Quality.Classification"
"959","Honduras","el cerron","olam honduras","Other",1450,"san marcos","nelson melgar melgar",275,"1 kg","Instituto Hondureño del Café","2014","January 22nd, 2014","Other","Catuai","Washed / Wet",7.33,7.33,7.17,7.33,7.5,7.33,10,10,10,7.33,81.33,0.12,0,0,"Green",3,"el cerron-san marcos","san marcos-Honduras","Specialty"
"960","Mexico",NA,"tapachula, chiapas","Other",1800,"tapachula","ismam san isidro labrador s de ss",250,"1 kg","AMECAFE","2012","August 30th, 2012","Other","Typica","Washed / Wet",7.58,7.42,7.25,7.33,7.25,7.25,10,10,10,7.25,81.33,0.13,4,0,"Green",13,"NA-tapachula","tapachula-Mexico","Commodity"
"961","Mexico","cruz verde","cruz verde","Other",1000,"veracruz","hector gabriel barreda nader",70,"1 kg","AMECAFE","2012","July 11th, 2012","Other","Typica","Washed / Wet",7.33,7.25,7.17,7.42,7.58,7.33,10,10,10,7.25,81.33,0.12,0,0,"None",4,"cruz verde-veracruz","veracruz-Mexico","Specialty"
"962","Brazil","fazendas klem ltda","dry mill","Other",1100,"matas de minas        ","nagipe viana klem       ",42,"5 kg","Specialty Coffee Association","2017","November 15th, 2017","Other","Catuai","Natural / Dry",7.5,7.58,7.5,7.5,7.75,7.83,9.33,9.33,9.33,7.58,81.33,0.11,0,0,"Green",0,"fazendas klem ltda-matas de minas        ","matas de minas        -Brazil","Specialty"
"963","Taiwan","jing jing café ","jing jing café ?????????","taiwan coffee laboratory",680,"dongshan dist tainan city ","hu guei jing ",20,"50 kg","Specialty Coffee Association","2015","May 18th, 2016","lin chehao krude ","Typica","Natural / Dry",7.83,7.75,7.67,7.83,7.83,7.75,9.33,10,10,5.25,81.25,0.12,0,0,"Green",0,"jing jing café -dongshan dist tainan city ","dongshan dist tainan city -Taiwan","Specialty"
"964","Brazil","rio verde","ipanema comercial e exportadora sa","ipanema coffees",1200,"south of minas","ipanema agrícola sa",320,"2 kg","Brazil Specialty Coffee Association","2016","October 8th, 2015","ipanema coffees","Yellow Bourbon","Natural / Dry",7.17,7.42,7.17,7.08,6.92,8.17,10,10,10,7.33,81.25,0,0,0,"Green",1,"rio verde-south of minas","south of minas-Brazil","Commodity"
"965","Nicaragua","cafetales santa matilde","san carlos","Other",1100,"jinotega","rolando lacayo",275,"69 kg","Asociación de Cafés Especiales de Nicaragua","2015","July 6th, 2015","Other","Catuai","Washed / Wet",7.08,7.5,7.33,7.17,7.42,7.25,10,10,10,7.5,81.25,0.1,0,0,"Green",4,"cafetales santa matilde-jinotega","jinotega-Nicaragua","Specialty"
"966","Honduras","cerro bueno","cadexsa","cadexsa",1400,"marcala","jose omar acosta",275,"1 kg","Instituto Hondureño del Café","2015","May 12th, 2015","cadexsa","Catuai","Washed / Wet",7.42,7.17,7.17,7.5,7.33,7.25,10,10,10,7.42,81.25,0.12,0,0,"Green",1,"cerro bueno-marcala","marcala-Honduras","Specialty"
"967","Guatemala","el injerto sa","el injerto s.a.","essence coffee",1700,"huehuetenango","el injerto sa",36,"55 lbs","Blossom Valley International","2014","March 21st, 2015","essencecoffee","Pacamara","Washed / Wet",7.33,7.42,7.17,7.25,7.42,7.33,10,10,10,7.33,81.25,0.09,0,0,"Bluish-Green",2,"el injerto sa-huehuetenango","huehuetenango-Guatemala","Specialty"
"968","Tanzania, United Republic Of","shangrilla estate","shangrilla estate ltd","Other",1700,"karatu ngorogoro","shangrilla estate",100,"60 kg","Africa Fine Coffee Association","2014","December 17th, 2014","Other","Other","Washed / Wet",7.33,7.17,7.17,7.5,7.25,7.42,10,10,10,7.42,81.25,0.13,0,0,"Green",5,"shangrilla estate-karatu ngorogoro","karatu ngorogoro-Tanzania, United Republic Of","Commodity"
